Estruturas;RMSE;MAE;MAPE
RNN;1450.192108;1100.512958;12.68214419
RNN;1444.885363;1099.068235;12.64584265
RNN;1452.15185;1101.527447;12.69693478
RNN;1453.472067;1102.551162;12.7118892
RNN+attention;1451.239896;1101.205805;12.69222311
RNN+attention;1445.284233;1097.027972;12.62203223
RNN+attention;1444.852756;1095.466245;12.59849291
RNN+attention;1443.803632;1096.212235;12.59758169
RNN+attention;1448.695748;1099.407412;12.66649843
RNN+attention;1442.925735;1099.202063;12.62787027
RNN+attention;1446.033479;1096.719961;12.62706139
RNN+attention;1447.469619;1098.585183;12.6529855
RNN+attention;1450.646102;1100.943003;12.68725035
RNN+attention;1449.703179;1099.584604;12.6688557
RNN+attention;1448.781286;1099.52623;12.66772855
RNN+attention;1447.931395;1100.170432;12.67489635
RNN+attention;1447.291325;1098.271269;12.64941295
RNN+attention;1453.086617;1101.861122;12.70172171
RNN+attention;1443.398073;1101.478175;12.65079643
RNN+attention;1446.137315;1105.07653;12.68095151
RNN+attention;1443.711898;1097.327445;12.62045967
RNN+attention;1455.818756;1103.762088;12.7281119
RNN+attention;1452.365641;1101.825996;12.70135428
RNN+attention;1443.855214;1097.602533;12.62375703
RNN+attention;1455.248885;1103.22955;12.72115171
RNN+attention;1447.992225;1099.005839;12.66030515
RNN+attention;1449.375866;1100.886701;12.68605832
RNN+attention;1452.553742;1102.058529;12.70493133
RNN+attention;1448.754785;1099.270537;12.66583493
RNN+attention;1444.802054;1104.092771;12.66339409
RNN+attention;1443.261068;1098.321454;12.62518519
RNN+attention;1443.461626;1098.141516;12.64584874
RNN+attention;1441.815782;1098.01525;12.60430856
RNN+attention;1444.727595;1096.541606;12.61551245
